,City,Latitude,Longtitude,Temp,Cloudiness,Wind Speed,Humidity
467,la romana,18.4273,-68.9728,30.0,40,5.66,70
468,grajau,-5.8194,-46.1386,28.59,70,2.82,81
469,kirakira,-10.4544,161.9205,26.24,25,3.77,82
470,champerico,14.3,-91.9167,30.0,20,2.06,62
471,natal,-5.795,-35.2094,31.0,20,6.69,55
472,sakhnovshchyna,49.1517,35.872,-5.82,3,5.96,90
473,luganville,-15.5333,167.1667,25.12,94,1.13,82
474,praia da vitoria,38.7333,-27.0667,15.0,75,6.97,63
475,havelian,34.0536,73.1657,11.67,3,1.98,70
476,caete,-19.88,-43.6697,24.34,90,3.09,73
477,puerto del rosario,28.5004,-13.8627,17.0,40,4.63,63
478,teya,60.3778,92.6267,-17.95,100,2.24,89
479,moron,-34.6534,-58.6198,27.75,0,1.79,36
480,chifeng,42.2683,118.9636,-6.68,98,2.28,92
481,dargaville,-35.9333,173.8833,13.5,100,1.31,89
482,mizdah,31.4451,12.9801,18.25,64,3.51,26
483,hasaki,35.7333,140.8333,4.26,75,1.03,81
484,bengkulu,-3.8004,102.2655,25.06,83,2.15,86
485,atherton,53.5237,-2.4935,7.81,39,2.24,71
486,nanortalik,60.1432,-45.2371,-5.09,0,0.31,79
487,juneau,58.3019,-134.4197,-8.14,40,2.06,86
488,bastrop,32.7562,-91.8724,7.87,75,1.54,49
489,parry sound,45.3501,-80.033,-1.67,100,9.69,93
490,kalmunai,7.4167,81.8167,24.35,94,3.48,86
491,luangwa,-15.6167,30.4167,25.2,17,1.04,82
492,byron bay,-28.65,153.6167,19.42,90,2.57,94
493,gat,31.61,34.7642,16.04,21,4.17,100
494,carballo,43.213,-8.691,9.42,98,4.47,86
495,butembo,0.15,29.2833,17.23,100,0.14,90
496,lima,-12.0432,-77.0282,23.87,0,3.09,65
497,raudeberg,61.9875,5.1352,-7.76,0,5.66,50
498,valparaiso,-33.0393,-71.6273,16.98,90,3.09,94
499,kununurra,-15.7667,128.7333,25.0,100,6.25,100
500,abashiri,44.0213,144.2697,-9.44,78,3.13,70
501,bongor,10.2806,15.3722,28.03,15,3.32,15
502,la reforma,25.0833,-108.05,25.05,1,4.11,49
503,turkistan,43.0,68.0,7.23,100,4.1,57
504,ronneby,56.21,15.276,-9.0,0,3.09,86
505,kahului,20.8947,-156.47,16.71,90,2.06,88
506,manzil salim,35.8567,8.4765,19.0,0,3.09,15
507,mahibadhoo,3.7833,72.9667,27.27,98,4.25,75
508,glace bay,46.1969,-59.957,3.93,40,5.14,75
509,chamonix-mont-blanc,45.9238,6.8693,4.19,99,2.64,95
510,puerto madero,14.7208,-92.4215,30.0,20,3.09,58
511,nemuro,43.3236,145.575,-4.49,21,3.01,88
512,srednekolymsk,67.45,153.6833,-29.28,81,3.52,86
513,sampit,-2.5333,112.95,23.43,46,0.65,97
514,aksarka,66.5606,67.7975,-28.76,100,4.62,87
515,saint-leu,-21.15,55.2833,24.26,0,3.6,65
516,amlame,7.4667,0.9,31.42,57,1.66,40
517,shingu,33.7333,135.9833,8.36,93,2.73,69
518,anloga,5.7947,0.8973,31.0,20,5.66,74
519,burriana,39.889,-0.085,12.48,58,2.24,88
520,dunmore east,52.1514,-6.9861,6.67,40,1.54,83
521,bilma,18.6853,12.9164,20.48,3,3.52,23
522,yekaterinovka,52.0508,44.3451,-7.88,100,7.78,96
523,selenginsk,52.0064,106.8647,-14.0,40,2.33,78
524,gunjur,13.2019,-16.7339,26.0,0,5.66,53
525,portland,45.5234,-122.6762,6.74,75,5.14,87
526,huntsville,34.7304,-86.5861,6.01,1,2.06,60
527,agropoli,40.3469,14.9966,14.04,77,1.79,47
528,anda,46.4,125.3167,-17.79,96,2.36,91
529,ilam,26.9167,87.9167,11.39,2,2.33,60
530,necochea,-38.5473,-58.7368,29.33,0,3.91,23
531,yuxia,34.0615,108.6291,2.08,0,1.0,68
532,bradley,35.1501,-84.8666,6.83,1,1.54,53
533,maceio,-9.6658,-35.7353,31.0,20,8.23,58
534,puerto colombia,10.9878,-74.9547,32.0,20,3.6,62
535,petare,10.4723,-66.8016,27.36,20,2.16,70
536,nuevitas,21.5453,-77.2644,28.0,40,3.09,54
537,belton,38.812,-94.5319,1.75,75,3.6,55
538,ust-kulom,61.6864,53.6902,-7.85,100,4.11,96
539,nelson bay,-32.7167,152.15,22.07,90,3.6,78
540,azare,11.6765,10.1948,26.33,2,5.3,17
541,oum hadjer,13.2954,19.6966,24.91,0,4.77,17
542,atar,20.5169,-13.0499,22.71,100,4.57,29
543,chernyshevskiy,63.0128,112.4714,-38.96,62,0.43,83
544,nantucket,41.2835,-70.0995,6.05,90,7.2,87
545,korla,41.7597,86.1469,-2.41,52,1.52,83
546,sao miguel do araguaia,-13.275,-50.1628,30.12,70,2.68,68
547,svetlaya,46.5389,138.3297,-12.84,94,1.88,86
548,aykhal,66.0,111.5,-36.86,23,1.63,81
549,ibiruba,-28.6275,-53.0897,22.28,0,4.97,66
550,shamkhal,43.0596,47.3373,7.34,20,1.0,81
551,bonanza,14.0289,-84.591,29.34,54,1.82,50
552,eydhafushi,5.1033,73.0708,27.45,44,4.4,73
553,whitecourt,54.1502,-115.6855,-20.0,90,4.12,77
554,bitkine,11.9801,18.2138,25.56,0,4.27,17
555,sakete,6.7362,2.6587,31.0,20,5.66,74
556,margate,51.3813,1.3862,8.33,0,0.89,82
557,panguna,-6.3164,155.4848,20.88,62,0.97,100
558,jiazi,22.8779,116.067,15.78,0,1.51,80
559,bemidji,47.4736,-94.8803,-17.12,1,9.26,71
